Name,Town,Description
養樂多工廠,中壢區,小小乳酸菌藏著多少奧妙，瞧瞧生產線就知道！學到知識後去商店街逛一波，把限定文創小物帶回家，再到萬國Logo牆來個到此一遊打卡。
歐萊德綠建築總部,龍潭區,歐萊德秉持永續經營的理念，將總部建築融於環境，從建材到能源的再利用皆落實節能減碳，並以｢綠色品牌｣之姿為愛地球盡一份心力。
福源茶廠,龍潭區,想成為品茶達人，就不能不明白製茶的箇中學問﹔體驗採茶、揉茶、磨茶粉…讓五感深入感受茶的每一階段，從此喝茶更有味道！
中台環境教育資源中心,觀音區,環保小尖兵，一起來把廢棄物變黃金！有趣的導覽課程，帶你了解什麼是綠色資源科技、手中的工廠回收材料如何變為文創小物，動動手學科普。
源友咖啡文化館,平鎮區,你喝的咖啡有泰半從這來！源友以享譽國際的烘豆技術，誘使每一顆咖啡豆散出香氣，為成就一杯風味香醇的咖啡奠定了美好基礎。
渴望園區,龍潭區,在這裡有一種自在是躺臥青草地望藍天、早晨被鳥鳴喚醒…就來入住全國首家｢金級環保旅館｣吧！回應內心對樂活人生最真實的嚮往。
南崁溪水岸公園,蘆竹區,超帥氣退役戰車、大紅LOVE、緋紅富士櫻、炫麗光雕橋，6座公園給你軍事風、放閃風、唯美風，多種不一樣的打卡風格，洗版洗起來！
福仁宮,大溪區,農曆二月十一，來恭賀開漳聖王生辰快樂！地方大姓十年一輪主辦，神豬祭儀熱鬧登場，歡迎鄉親父老前來共襄盛舉，有拜有保庇！
新南老街,大溪區,雕飾精緻的巴洛克街屋華麗競演，隱喻著富貴人家的貴氣格調，隨著時代更迭，豪門廳堂成為旅人飲咖啡品生活的場景，再續老街風華。
迷宮巷-鳳飛飛故居,大溪區,年華似水流，穿梭短牆矮房，鳳姐歌聲掠過心頭，就在草店尾小客廳稍作歇息吧，挖掘「後尾仔｣的吉光片羽，想像大漢溪河運興盛的日子。
水牛書店,新屋區,以書易書的經營模式，讓偏鄉的閱讀力源源不絕，就如同店名｢水牛｣，默默耕耘著在地文化土壤﹔店內另販售小農特產，致力推廣友善耕作。
八德茄苳霄裡陽光鐵馬道,八德區,南北雙路線，玩法好多變！嚮往自然的你，就往北去看埤塘、賞阡陌農田﹔想感受在地人情味，就往南邊浣衣池、古厝群，小鎮情懷總是詩。
舊百吉隧道,大溪區,日治時期聯絡角板山和大溪的交通要道，現今已成為重現往年車伕在輕便鐵道上，手押台車、辛苦載客載貨場景的歷史廊道。
青林農場,觀音區,吃過燒烤店沒什麼好說嘴，動手焢窯、露天烤肉才夠威，酒足飯飽後超大草皮等你來動動筋骨，最後做個麥桿菊乾燥花，把這份野趣帶回家。
大艽芎古道,大溪區,古道健走找亮點，翩翩紫蛺蝶飛啊飛、純白桐花綻放樹間、蟲鳴鳥叫當最天然的背景音樂，昔日通商要道變成自然生態賞景私房路線！
大漢橋,復興區,你是文藝小清新，就來賞楓賞蝶品四季更迭，你是躁動熱血咖，北台灣高度最高的高空彈跳歡迎你來，大漢橋的各種玩法，怎麼玩都挺有意思。
大溪月眉至龍潭三坑水岸觀光綠廊,大溪區,不衝刺的長征，儘管自如地踩踏雙輪，慢速欣賞沿途的每一道風景﹔懷舊老街、水岸風情、季節花海…，然後嚐口客家菜包，旅程完美終結！
優霞雲瀑布、嘎嘎生態池,復興區,看似靜謐的生態池其實是個熱鬧的小型生態鏈，觀察多樣化的水生物種能讓你嘖嘖稱奇﹔下行可見傾瀉而下的瀑布，滔滔流水光看就震撼。
石門山步道,龍潭區,海拔551公尺的小百岳，匯聚鐵腿好漢坡、平坦土石路，隨興致攻頂便能換個角度鳥瞰石門水庫、遠眺龍潭大溪，感受登高的暢快。
羅馬公路自行車路線,復興區,想知道你的毅力臨界點在哪，近34公里的山麓單車行，就是挑戰標的﹔飽覽部落原鄉風采之際，奮力完成一段段爬坡，你就是自己的英雄！
角板山形象商圈,復興區,部落伴手禮﹣水蜜桃、甜柿、香菇、小米酒、編織藝品買好買滿，還有平常吃不到的部落風味菜，整個商圈就是你的逛街天堂。
彩韻廣場,桃園區,如彩緞舞動的裝置藝術，以｢展開雙臂｣的迎賓意象，歡迎每位來訪的旅人，夜間炫彩光影與水瀑交織，又展現另一番醉人氛圍。
新屋百年石滬群,新屋區,由一個個卵石堆疊而成的海上長城，既是漁民利用漲退潮的捕魚利器，更是不可多得的環境教育場域，酋婦蟹、海瓜子、青蟳，大開你的眼界。
羅浮部落獵人學校,復興區,莫急莫慌要沉著，作為一名獵人之先，你需要懂得超前佈署和耐心等候！跟著導覽人員學習設置陷阱、射箭秘訣，也許你就是最有潛力的泰雅獵人！
龍岡森林公園,中壢區,丟掉手機丟電腦，無料萬坪公園才是全家人的絕佳休閒選項，不管是想健走、騎單車、打籃球，享受揮汗動起來的暢快，甩掉你的宅習慣。
南崁溪水岸自行車道,蘆竹區,踩踏雙輪兜風去！22公里的水岸車道，跨境城中和田野，白天賞河景風光，晚上看爛漫光雕，即使一個人也能隨時展開一場愜意的單車私旅。
桃園中正藝文特區商圈,桃園區,料理東西軍大舉插旗的美食版圖，從街邊傳統小吃到異國美饌，強力逆襲每一張懂吃的嘴，還要把潮流衣著買起來，大肆享受逛街的快感。
龍岡圖書館(桃園市立圖書館龍岡分館),中壢區,獨自、讀字，挑個窗邊的座位，陷入文字的世界，就像圖書館｢融於自然｣的設計理念，在風光水綠中，我們閱讀，也感受這世界。
虎頭山公園全齡友善步道,桃園區,不分老幼的自然系踏青路線，只要邁開步伐，便能擁抱難能可貴的生態之美，一路上也許會巧遇松鼠和蛙蛙，歡迎你造訪這座城市後花園。
泰雅小米園區,復興區,播種時的祈願、豐收時的感謝，旅人們藉由參與祭儀，認識族人崇敬天地的表現，園區還推出射箭、編織等文化體驗，讓你化身泰雅小勇士。
溪口部落,復興區,登上新溪口吊橋，是每一位來訪溪口部落的旅人們必收景致，而體驗隱藏在口簧琴和部落料理的風土人文，則是讓旅程加倍精彩。
石門水庫步道,龍潭區,深入步道的收穫，不只是鍛鍊體力，還可以眺望大壩風光，感受悠遊自然的快意﹔高雅梅櫻、橙紅楓葉、四月雪流蘇花，四季各有看頭。
北橫公路自行車路線,大溪區,單車好手不會想錯過的達人級路線，從大溪一路上復興、小鎮一路到山區，壯麗原鄉騎透透，快激起你的腎上腺素飆速起來！
大棟山登山步道,龜山區,目睹海拔405公尺的小百岳風景，有飛機凌空飛、高鐵呼嘯過、蜿蜒淡水河、台北101屹立遠處，攻頂後的重頭戲，就是令人直呼值得。
永安北岸濱海遊憩區,新屋區,親子親水低碳無動力活動首選﹣後湖溪划獨木舟，在海風徐徐之下搖槳前行，靜賞水鳥飛翔而過、觀察濕地生態，頗有一番情趣。
大溪木藝生態博物館﹣大溪歷史館,大溪區,跨越近百年的屋舍，以展示｢大溪人的生活與歷史｣為定位，保留當代居民的軌跡，使旅人沉浸在令人著迷的復古氛圍中，懷想古今。
大溪木藝生態博物館﹣藝師館,大溪區,高手在民間，木職人代代傳承的精湛工藝，使大溪因百年木藝而光彩熠熠﹔來趟文化行旅吧，發掘一鑿一刻下，無以複製的動人故事。
桃園慈護宮,桃園區,中壢仁海宮與桃園慈護宮分別為南北桃園的媽祖信仰中心，每30年舉辦一次的祈安建醮極為盛大，總吸引成千上萬的信徒前來參拜、鑽轎腳。
大溪普濟堂,大溪區,六月廿四關聖帝君聖誕，熱鬧翻騰的全城遶境，來看大仙尪神將出巡和百年社頭全到齊，大溪人的第二個過年，你不會想錯過！
赫威神木群,復興區,全台極為珍稀的低海拔紅檜群，樹齡約為800至2000年，當中較為知名的有巨大樹洞的八仙神木、枝幹曲折的卜派神木，抬頭仰望令人不由得發出讚嘆。
乳姑山,龍潭區,白天這裡是挖掘台灣功夫茶製程的好所在，晚上則是捕獲超級夜景的打卡熱點，採茶體驗、璀璨燈火搭上美食，山中輕旅精彩一整日。
國立體育大學,龜山區,走在碧綠無波的志清湖畔步道，放眼所及的風景令人感到格外宜人，偶爾可見鴨子悠閒划水﹔一旁的青翠草地席地野餐，也是一種享受。
Global Mall 桃園A8,龜山區,多個流行風尚、生活日用、文具雜貨、運動休閒等特選品牌，加上特色主題餐館，讓你捷運到站立馬開買開吃，大嫌時間不夠用！
中壢藝術館,中壢區,風格大器又沉穩的的建築，規劃有可容納千人的音樂廳、百坪展覽室，每年平均舉辦30檔展覽和百場國內外表演，是南桃園重要的藝文空間。
桃園國際機場,大園區,可以待上一天的戶外觀景平台，無論是看夕陽、看星空、看飛機起降都很推﹔重現舊時大稻埕的玩藝大街，彩繪打卡牆引你進入一段復古時光。
茄苳里埤塘公園,八德區,象徵桃園文化薈萃的七彩裝置藝術在埤塘的倒影令人驚豔，不如就沿著環湖景觀步道，領略不同視角之美，偶爾還有白鷺鷥與你相伴。
魅力金三角商圈 (魅力金三角地方特色產業發展協會),平鎮區,米干、國旗屋、龍岡清真寺、忠貞市場、異域故事館、忠貞新村文化園區...，透著濃濃眷村風味的時尚風華再現，歡迎您的蒞臨!
雲南文化公園,平鎮區,全桃稀有的雲南主題公園，園區內設有藏族祈福轉經筒，連年舉辦的龍岡米干節也於此為活動場地之一，是推廣滇緬文化的重要據點。
蘆竹德馨堂,蘆竹區,仔細端詳這座蘆竹地區少數保存良好的一條龍古厝，不論是彩瓷、泥塑、紅磚牆、燕尾形屋脊，皆顯百年望族氣派，也是表現閩南文化的經典之作。
外社輕便車站,蘆竹區,重建的車站喚起地方記憶，旅人們在水塘畔踩小台車前行，體驗外社先民運輸工具，同時還能迎著微風欣賞周邊遠山，格外舒心。
桃園市土地公文化館,桃園區,來瞧瞧威風凜然的神將每一筆畫有多細緻、古早農村廟口看戲是大人小孩都愛的樂趣…與土地公信仰密不可分的鄉土文化，帶你一探究竟。
葡萄王健康活力能量館,平鎮區,來瞧瞧暢銷超過半世紀的｢康貝特｣發源地，除了Get健康知識，當然不能錯過保健食品和甜品混搭的益生菌霜淇淋、靈芝仙草凍，必吃絕配滋味。
大園商圈,大園區,走逛擁有數十年歷史的餐館、餅舖、生活雜貨，是一窺在地人獨有日常的絕佳方式，傳統老店裡的老故事，走過路過千萬別錯過。
樂信瓦旦紀念公園,復興區,終其一生為了爭取部落居民的權益，而不惜斷送性命的樂信瓦旦，其無私精神直到如今依然是受到族人極高尊崇，也特建此公園表達感念。
龍潭觀光夜市,龍潭區,每個南桃園鄉親心目中的美食地圖，總是少不了會有龍潭觀光夜市，裡頭多達500個攤位，囊括各式異國料理、傳統美味，吃貨雷達ON！
108賴家休閒農場,蘆竹區,來訪的旅客可別錯過瞧瞧園主的絲瓜藝術創作展示，和夏日必賞的荷花景致，讓這趟農村風土體驗，增添了一點閒情逸致。
千郁休閒農場,蘆竹區,六千多坪的園區種植多種香草植物、景觀植栽，旅人賞美景之餘，還可品嘗舒壓香草茶、養生健康餐，再來場大地遊戲、農事體驗，實在紓壓！
台灣高鐵探索館,中壢區,2007年台灣高鐵的通車，推進台灣交通史邁入嶄新的里程碑，這當中需要多少無名英雄的投入﹖又有哪些難題需要被克服﹖歡迎來探索這偉大工程！
新溪口吊橋,復興區,沒走過全台最長懸索橋，就好像來復興沒吃水蜜桃，旅行成就少一項！快點提起你的勇氣，勇跨｢北台303｣，大漢溪谷等你來征服！
泰雅故事公園,復興區,桃園第一座引進碳酸氫鈉泉的公園，入口處的超大魚筌展現泰雅捕魚文化，園內特別設置泡腳池，讓旅人就地即可體驗觸感光滑的美人湯。
桃園軌道願景館,桃園區,坐上桃園號小火車認識桃園捷運未來規劃、回顧在地軌道歷史﹔等比例神還原打造的桃園舊火車站、小小車長體驗、軌道劇院皆是館內亮點。
桃園77藝文町,桃園區,在五光十色的站前商圈裡，這座日式宿舍群像是一片文化綠洲，默默地藉由展覽、藝文表演、文創市集，以新舊交錯的文化樣貌滋養這城市。
桃園防災教育館,八德區,透過煙霧體驗、滅火VR體驗、密室逃脫等各樣互動教學，你將學習到各樣實用的防災觀念，化身為守護家園的救難小英雄。
圳頭里軍史公園,大園區,今天的打卡來走軍事風吧！比模型更威的坦克車、驅逐艦、戰鬥機、單管砲等退役軍武，就是你的最強背景，快門按下，鏡頭前你最霸氣！
桃園市兒童美術館,八德區,館內收藏破萬本的兒童讀物，每月並舉辦多場親子藝文活動，觸動孩童的想像力與好奇心，讓美學教育從興趣當中轉為生活的一部分。
觀音草漯沙丘,大園區,騷動的探險魂啊，全國第一座沙丘地質公園，根本就是撒哈拉沙漠的平行時空，何不打造另類的荒漠壯遊，200多公頃海上長城等你完美入鏡！
保甲古道,楊梅區,循著卵石遍布的挑夫運貨路徑前行，如今挑夫身影已不復見，倒是多了尋幽訪古的旅人，在盡是茶園與苦茶樹的古道，感受客庄山林。
福人登山步道,楊梅區,沒那麼困難，征服第一條山林步道就從這開始！集結和緩坡度、低海拔等爬山入門款條件，全家大小的山林健走之行，即刻出發！
觀新藻礁生態系野生動物保護區,觀音區,號稱全台面積最大的千年植物藻礁，因其生長速度緩慢，每一方寸都是彌足珍貴，每逢春夏更是吸引不少旅人來一探潮間帶的生態奧秘。
菱潭街興創基地,龍潭區,曾經的市場美食街，閒置14年後，因著一間間的文創店鋪進駐，注入一股藝文能量，而再度匯聚人潮，成功塑造了另一種在地人文新風貌。
新民老街,桃園區,沒有大廟商圈的人聲雜沓，踏上有｢桃園第一街｣之稱的老街，時間彷彿轉慢了，不如找間文青咖啡廳、傳統雜貨店，找尋老城區的舊日點滴。
水濂洞、幽靈瀑布,復興區,受不了盛暑難耐嗎﹖就去鐵力庫部落清涼一下！超刺激的天然滑水道、壯觀奔騰的百尺高瀑布、媲美頂級水療的水濂洞，暑氣全OUT！
A8藝文中心,龜山區,所謂的藝術，從來就不是遙不可及，而是貼近於生活的存在﹔A8藝文中心帶你由賞畫、看老照片、玩手作，隨時開啟通往藝術的大門。
桃園光影文化館(光影二館),桃園區,高規格的放映設備，打造舒適的觀影空間，每月不只有由館方精心規劃的主題選片，還有各式靜態展覽和藝文展演，實為多功能的藝文場域。
中壢光影電影館(光影一館),中壢區,透過主題選片、影人映後座談，帶你看遍世界、吸收滿滿藝術能量，逢週六還有親子電影院，全家大小一同無料觀影，開心樂無限！
八德落羽松森林,大溪區,和炎炎夏日道別後，上千株由綠轉紅的落羽松悄然宣告秋天來臨，騎著單車伴著微涼的秋風漫步霄裡大池畔，別有一番純粹美好。
石門森林休閒農場,大溪區,園內種植食用香草以及地方農產，並提供導覽解說服務，旅客可於現場購買植栽、特色伴手禮，也能參與手做體驗，認識農林生活。
桃蘆坑休閒農場,蘆竹區,光看到這座水上溜滑梯，還有可愛的鵝鴨游水，你家小孩就鐵定失心瘋了！往裏頭去還有沙坑和湖畔景觀餐廳，只怕你時間不夠玩。
蛋寶生技不老村,平鎮區,許願亭、迷你版千本鳥居、長壽地藏尊，換上浴衣穿梭在復刻版的江戶大街，這裡就是日本！還可DIY鯉魚旗、紙傘，日系紀念品自己親手做。
侏羅紀博物館,蘆竹區,珠寶學可沒你想像得遙不可及！來到這，不但能一睹具國際博物館級水準的館藏寶石，還可以清修化石、研磨琥珀、礦坑淘寶，知性又有趣！
大溪木藝生態博物館﹣鳳飛飛故事館,大溪區,她的經典歌曲，你仍不時哼起﹔她溫暖的笑容，你猶記在心﹔館內展出多件鳳友們捐贈的珍貴收藏，想念鳳姐時，歡迎來館舍讓往事再次回味。
楊梅四維商圈,楊梅區,商圈內各路美食滿滿是﹔想在咖啡廳當個偽文青放空自己、日式食堂大飲啤酒，或是一嘗銅板價中式下午茶，選擇之多，怎麼吃都不膩！
棒球名人堂,龍潭區,查理布朗站上投手丘，準備要和你來個直球對決！館內豐富又生動的互動體驗，邀請你一起來感受棒球之樂、認識輝煌的棒球黃金年代。
粼粼波光、翩翩白影(地景藝術節白鷺鷥),楊梅區,高八米五的白鷺鷥低頭覓食，鏤空設計隨著天光雲影的變化展現不同美感﹔目前是重現埤塘文化、富岡人在地印象的重要地景。
壢小故事森林,中壢區,百年教師宿舍活化為親子共學空間，讓學習不再只是侷限於課本，而是從講座、繪本故事、食育體驗、手作勞作，拓展孩子知識的廣度。
壢景町,中壢區,館內以展示中壢的發展軌跡以及介紹台灣民主發展史為主軸，讓參觀者回到過去，找尋成長中的記憶片段，並認識歷史的重要演進。
新屋農博環境教育園區,新屋區,六大主題館舍透過生動活潑的導覽解說、手作體驗、文化藝廊等方式，傳遞環境教育的重要性﹔戶外的裝置藝術、景觀生態池，則是熱門打卡亮點。
自然接觸保養品亮點體驗園,楊梅區,秉持天然並結合高端萃取技術，為愛美的你研發出具品質保證的美麗法寶，了解產品製程之餘，還能體驗異國服飾，讓你大秀華麗！
Xpark 八景島水族館,中壢區,不用出國！橫濱八景島首設海外分館，13大主題展區以萬花筒般的絢爛燈光與久石讓打造的專屬音樂，帶你沉浸奇幻無比的水生世界。
桃園新光影城,中壢區,引進全台首座杜比影院，不僅以超奢華放映設備打造觀影新高度，還搭配天王按摩椅、五星級電動床組，連身體也享受極致放鬆。
大溪木藝生態博物館﹣木生活館,大溪區,昔日的蔣公行館，改造為展示木職人作品和開放旅客木工體驗的創作空間，歡迎來到木藝的美妙世界，雋刻屬於你的大溪旅遊日記。
利百代彩筆文創館,桃園區,文創文具挑動你的文青神經、復古大街絕版商品給你滿滿回憶殺、彩繪DIY讓每個人都是大藝術家，最後再去義式餐館填飽胃，大人小孩都滿意。
雄獅文具想像力製造所,龍潭區,你今天的心情是莫蘭迪綠，還是法拉利紅﹖來調製你的專屬彩色筆、染印送給家人的抱枕，揮灑你的想像力成就你的美好旅行回憶！
勝昌中草藥探索館,中壢區,那些名字千奇百怪的中藥材，到底對身體有什麼幫助﹖有趣的闖關活動帶你認識實物，讓你變身小小李時珍，不再川芎當歸傻傻分不清楚！
崙坪文化地景園區,觀音區,小松鼠正邀你一同在這座6.3公頃的綠地盡情跑跳，然後在竹編龜殼劇場做白日夢、最後嚐個梅干扣肉、逛逛客家文創好物，不跟上太可惜！
鍾肇政文學生活園區,龍潭區,沉浸國寶文學家-鍾肇政寫作多部經典鉅作的孕育之地，再走訪臨近的龍元宮、龍潭市場、龍潭大池，原來龍潭的文學味比你想得還濃。
手信霧隱城,龍潭區,以日本江戶時代為背景，打造出霧隱城城廓及江戶老街城下町的樣貌，帶領遊客進到城裡，一探幕府將軍與和菓子的能量秘密。
新屋石滬故事館,新屋區,原為警察哨所及宿舍的蚵一哨所，經重新改造轉型後，以寓教於樂的方式，傳承新屋百年石滬文化，並提供旅客石滬修築體驗。
草漯沙丘觀音展示館,觀音區,你聽過饅頭丘、陰影丘、前列沙丘嗎？讓我們一起走入草漯沙丘的奇妙世界，尋找沙灘、夕陽、風車的絕美密境，彷彿置身於撒哈拉沙漠，等著你來揭開它的神秘面紗！
海洋客家牽罟文化館,新屋區,想當一日海客嗎？全國首座「海洋客家牽罟文化館」，帶您體驗傳統牽罟捕魚，緬懷先人與海共生的智慧，品嚐道地牽罟風味餐，是盛夏絕不能錯過的衝浪聖地！
新屋濱海植物園,新屋區,發現新秘境，玩出新知識！開啟「新屋濱海植物園」APP互動遊戲，讓你一邊玩、一邊長知識，探索大自然的奧妙，快來挑戰尋寶的樂趣吧！
藻礁生態環境教室,新屋區,想要與觀新藻礁譜一場千年之戀嗎？認識10年才長1公分的海洋生物育嬰房，走～由專業海岸生態解說員帶您一起去探索！
鑊篤陂塘生態公園,平鎮區,漫步在公園，徜徉在和大自然共處的美好時光，週邊景色讓人心曠神怡！陂塘豐富的生態環境、樹林間有趣的地景溜滑梯，是都市中難得的世外桃源、親子遊憩的好去處。
巧虎夢想樂園,中壢區,五大區域﹣「琪琪夢想體驗城」、「巧虎繽紛大球池」、「妙妙未來實驗室」、「海洋世界舞台」和「桃樂比互動遊戲區」，讓孩子們玩得快樂同時培養智能。
Global Mall 桃園A19,中壢區,捷運到站就到店，從料理教室、親子樂園、舒壓按摩、美味餐館到生活用品一應俱全，滿足消費者購物、聚餐、體驗、娛樂休閒全方位需求。
永安海螺文化體驗園區,新屋區,主體建築擷取海螺，中庭的地景藝術，則是以客家吹海螺的聲音為發想，附屬建物則是融入捕漁的客家石塭，整體園區頗具海客風情。
十一份觀光文化園區,龍潭區,前身為人聲鼎沸的佳安市場，而現在她將繼續延伸生命力，結合藝術、零塑、有機、自然生態等多元樣貌，為十一份這個地區注入新的活力。
1895乙未保台紀念公園,平鎮區,有如以色列哭牆的｢乙未之環｣，開門見山地將公園注入歷史意涵，旅人走讀客家義民為保育鄉土的四大戰役不惜壯烈犧牲，心中必是滿滿感懷。
異域故事館,平鎮區,「異域孤軍」這個鮮為人知的部隊，在遙遠的金三角莽荒叢林裡拼搏30餘年，「異域故事館」保存了「異域孤軍」的悲壯歷史，讓這段故事永久流傳下去。
大溪落羽松公園,大溪區,每年秋冬之際，大溪落羽松大道的落羽松葉由金黃轉為緋紅時，總吸引許多遊客到此體驗有濃濃異國情調的自然美景。
楊梅故事園區,楊梅區,楊梅故事園區前身為「楊梅國中校長及教職員宿舍群」，園區內共有3棟建築，分別傳遞民間興學、自力建校、客家尊崇學風的人文精神。
